mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-13/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,13,Audiobook,,2024-03-28
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-14/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,14,Audiobook,,2024-04-25
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-15/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,15,Audiobook,,2024-04-25
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-16/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,16,Audiobook,,2024-05-23
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-17/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,17,Audiobook,,2024-05-23
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-18/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,18,Audiobook,,2024-06-27
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-19/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,19,Audiobook,,2024-06-27
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-20/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,20,Audiobook,,2024-07-25
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-21/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,21,Audiobook,,2024-07-25
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-22/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,22,Audiobook,,2024-08-29
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-23/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,23,Audiobook,,2024-08-29
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-24/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,24,Audiobook,,2024-09-26
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-25/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,25,Audiobook,,2024-09-26
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-audiobook-vol-26/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation,26,Audiobook,,2024-10-31
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-recollections-audiobook/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation – Recollections,1,Audiobook,,2024-11-21
mushokutenseijoblessreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-jobless-reincarnation-a-journey-of-two-lifetimes-audiobook/,Seven Seas Entertainment,Mushoku Tensei: Jobless Reincarnation – A Journey of Two Lifetimes,1,Audiobook,,2025-03-27
mushokutenseiredundantreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-redundant-reincarnation-audiobook-vol-1/,Seven Seas Entertainment,Mushoku Tensei: Redundant Reincarnation,1,Audiobook,,2024-11-21
mushokutenseiredundantreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-redundant-reincarnation-audiobook-vol-2/,Seven Seas Entertainment,Mushoku Tensei: Redundant Reincarnation,2,Audiobook,,2025-04-17
mushokutenseiredundantreincarnation,https://sevenseasentertainment.com/audio_books/mushoku-tensei-redundant-reincarnation-audiobook-vol-3/,Seven Seas Entertainment,Mushoku Tensei: Redundant Reincarnation,3,Audiobook,,2025-12-25
mydaughterleftthenestandreturnedansrankadventurer,https://global.bookwalker.jp/de7dd5c99f-9cdc-4b44-8074-060a545b42c7/,J-Novel Club,My Daughter Left the Nest and Returned an S-Rank Adventurer,1,Audiobook,9798350805321,2025-12-16
mydaughterleftthenestandreturnedansrankadventurer,https://global.bookwalker.jp/deb70da66e-91db-4135-8edf-4d5f8776ad0b/,J-Novel Club,My Daughter Left the Nest and Returned an S-Rank Adventurer,2,Audiobook,9798350805345,2025-12-16
mydaughterleftthenestandreturnedansrankadventurer,https://global.bookwalker.jp/dee6264473-2626-43e8-8cd7-ee255e4cfc64/,J-Novel Club,My Daughter Left the Nest and Returned an S-Rank Adventurer,3,Audiobook,9798350805369,2025-12-16
mydaughterleftthenestandreturnedansrankadventurer,https://global.bookwalker.jp/de3aa1e067-5a3a-4da3-9876-d625efa6330a/,J-Novel Club,My Daughter Left the Nest and Returned an S-Rank Adventurer,4,Audiobook,9798350805383,2025-12-16
mydaughterleftthenestandreturnedansrankadventurer,https://global.bookwalker.jp/de43b81b4b-b03d-492d-83ba-512e8e3bc7a6/,J-Novel Club,My Daughter Left the Nest and Returned an S-Rank Adventurer,5,Audiobook,9798350805406,2025-12-16
mydaughterleftthenestandreturnedansrankadventurer,https://global.bookwalker.jp/dee84416e8-23a2-46cb-9565-fb43b215d62d/,J-Novel Club,My Daughter Left the Nest and Returned an S-Rank Adventurer,6,Audiobook,9798350805420,2025-12-16
mydaughterleftthenestandreturnedansrankadventurer,https://global.bookwalker.jp/de2b4ebe5f-0e35-4465-b8a4-796efc3093dd/,J-Novel Club,My Daughter Left the Nest and Returned an S-Rank Adventurer,7,Audiobook,9798350805444,2025-12-16
mydaughterleftthenestandreturnedansrankadventurer,https://global.bookwalker.jp/debcbbe121-5613-48aa-8e50-db146770bbae/,J-Novel Club,My Daughter Left the Nest and Returned an S-Rank Adventurer,8,Audiobook,9798350805468,2025-12-16
mydaughterleftthenestandreturnedansrankadventurer,https://global.bookwalker.jp/de85d10dbb-bf8f-4338-b6d1-7446232d5ce2/,J-Novel Club,My Daughter Left the Nest and Returned an S-Rank Adventurer,9,Audiobook,9798350805482,2025-12-16
mydaughterleftthenestandreturnedansrankadventurer,https://global.bookwalker.jp/de9cd2d0f6-b4da-4837-939d-4630c9066bf0/,J-Novel Club,My Daughter Left the Nest and Returned an S-Rank Adventurer,10,Audiobook,9798350805505,2025-12-16
mydaughterleftthenestandreturnedansrankadventurer,https://global.bookwalker.jp/de630d69bf-d544-448d-b176-48f11f5066f5/,J-Novel Club,My Daughter Left the Nest and Returned an S-Rank Adventurer,11,Audiobook,9798350805529,2025-12-16
myhappymarriage,https://yenpress.com/titles/9798855413007-my-happy-marriage-vol-1,Yen Press,My Happy Marriage,1,Audio,9798855413007,2024-11-12
myhappymarriage,https://yenpress.com/titles/9798855413014-my-happy-marriage-vol-2,Yen Press,My Happy Marriage,2,Audio,9798855413014,2025-02-11
myhappymarriage,https://yenpress.com/titles/9798855413021-my-happy-marriage-vol-3,Yen Press,My Happy Marriage,3,Audio,9798855413021,2025-05-13
myhappymarriage,https://yenpress.com/titles/9798855413045-my-happy-marriage-vol-4,Yen Press,My Happy Marriage,4,Audio,9798855413045,2025-08-12
myhappymarriage,https://yenpress.com/titles/9798855413052-my-happy-marriage-vol-5,Yen Press,My Happy Marriage,5,Audio,9798855413052,2025-11-11
myhappymarriage,https://yenpress.com/titles/9798855413069-my-happy-marriage-vol-6,Yen Press,My Happy Marriage,6,Audio,9798855413069,2026-02-10
myhappymarriage,https://yenpress.com/titles/9798855413076-my-happy-marriage-vol-7,Yen Press,My Happy Marriage,7,Audio,9798855413076,2026-05-19
mystatusasanassassinobviouslyexceedstheheros,https://sevenseasentertainment.com/audio_books/my-status-as-an-assassin-obviously-exceeds-the-heros-audiobook-vol-1/,Seven Seas Entertainment,My Status as an Assassin Obviously Exceeds the Hero's,1,Audiobook,,2025-09-18
mystatusasanassassinobviouslyexceedstheheros,https://sevenseasentertainment.com/audio_books/my-status-as-an-assassin-obviously-exceeds-the-heros-audiobook-vol-2/,Seven Seas Entertainment,My Status as an Assassin Obviously Exceeds the Hero's,2,Audiobook,,2025-11-20
mystatusasanassassinobviouslyexceedstheheros,https://sevenseasentertainment.com/audio_books/my-status-as-an-assassin-obviously-exceeds-the-heros-audiobook-vol-3/,Seven Seas Entertainment,My Status as an Assassin Obviously Exceeds the Hero's,3,Audiobook,,2025-12-18
neongenesisevangelionanima,https://sevenseasentertainment.com/audio_books/neon-genesis-evangelion-anima-audiobook-vol-1/,Seven Seas Entertainment,Neon Genesis Evangelion: ANIMA,1,Audiobook,,2023-12-14
neongenesisevangelionanima,https://sevenseasentertainment.com/audio_books/neon-genesis-evangelion-anima-audiobook-vol-2/,Seven Seas Entertainment,Neon Genesis Evangelion: ANIMA,2,Audiobook,,2024-02-29
neongenesisevangelionanima,https://sevenseasentertainment.com/audio_books/neon-genesis-evangelion-anima-audiobook-vol-3/,Seven Seas Entertainment,Neon Genesis Evangelion: ANIMA,3,Audiobook,,2024-04-11
neongenesisevangelionanima,https://sevenseasentertainment.com/audio_books/neon-genesis-evangelion-anima-audiobook-vol-4/,Seven Seas Entertainment,Neon Genesis Evangelion: ANIMA,4,Audiobook,,2024-05-09
neongenesisevangelionanima,https://sevenseasentertainment.com/audio_books/neon-genesis-evangelion-anima-audiobook-vol-5/,Seven Seas Entertainment,Neon Genesis Evangelion: ANIMA,5,Audiobook,,2024-06-13
nowimademonlordhappilyeverafterwithmonstergirlsinmydungeon,https://global.bookwalker.jp/deb6d68ed5-436e-4ac9-80e7-f9e5baf6a6a5/,J-Novel Club,Now I'm a Demon Lord! Happily Ever After with Monster Girls in My Dungeon,1,Audiobook,9798331965440,2025-12-16
nowimademonlordhappilyeverafterwithmonstergirlsinmydungeon,https://global.bookwalker.jp/de7b924835-b619-4874-9e9d-08bb623d878f/,J-Novel Club,Now I'm a Demon Lord! Happily Ever After with Monster Girls in My Dungeon,2,Audiobook,9798331965464,2025-12-16
omniscientreadersviewpoint,https://yenpress.com/titles/9798400903540-omniscient-reader-s-viewpoint-novel-vol-1,Yen Press,Omniscient Reader's Viewpoint,1,Audio,9798400903540,2025-07-22
omniscientreadersviewpoint,https://yenpress.com/titles/9798400903755-omniscient-reader-s-viewpoint-novel-vol-2,Yen Press,Omniscient Reader's Viewpoint,2,Audio,9798400903755,2025-11-18
omniscientreadersviewpoint,https://yenpress.com/titles/9798400903786-omniscient-reader-s-viewpoint-novel-vol-3,Yen Press,Omniscient Reader's Viewpoint,3,Audio,9798400903786,2026-03-17
orceroica,https://yenpress.com/titles/9798855431674-orc-eroica-vol-1,Yen Press,Orc Eroica,1,Audio,9798855431674,2026-02-24
orceroica,https://yenpress.com/titles/9798855431681-orc-eroica-vol-2,Yen Press,Orc Eroica,2,Audio,9798855431681,2026-05-19
overlord,https://yenpress.com/titles/9781975337490-overlord-vol-1,Yen Press,Overlord,1,Audio,9781975337490,2021-09-14
overlord,https://yenpress.com/titles/9781975338336-overlord-vol-2,Yen Press,Overlord,2,Audio,9781975338336,2021-12-14
overlord,https://yenpress.com/titles/9781975338466-overlord-vol-3,Yen Press,Overlord,3,Audio,9781975338466,2022-02-15
overlord,https://yenpress.com/titles/9781975338480-overlord-vol-4,Yen Press,Overlord,4,Audio,9781975338480,2022-04-12
overlord,https://yenpress.com/titles/9781975346782-overlord-vol-5,Yen Press,Overlord,5,Audio,9781975346782,2022-07-12
overlord,https://yenpress.com/titles/9781975346799-overlord-vol-6,Yen Press,Overlord,6,Audio,9781975346799,2022-10-11
overlord,https://yenpress.com/titles/9781975346805-overlord-vol-7,Yen Press,Overlord,7,Audio,9781975346805,2023-01-10
overlord,https://yenpress.com/titles/9781975346812-overlord-vol-8,Yen Press,Overlord,8,Audio,9781975346812,2023-04-11
overlord,https://yenpress.com/titles/9781975370176-overlord-vol-9,Yen Press,Overlord,9,Audio,9781975370176,2023-07-11
overlord,https://yenpress.com/titles/9781975370183-overlord-vol-10,Yen Press,Overlord,10,Audio,9781975370183,2023-10-10
overlord,https://yenpress.com/titles/9781975370190-overlord-vol-11,Yen Press,Overlord,11,Audio,9781975370190,2024-01-16
overlord,https://yenpress.com/titles/9781975370206-overlord-vol-12,Yen Press,Overlord,12,Audio,9781975370206,2024-04-16
overlord,https://yenpress.com/titles/9781975397999-overlord-vol-13,Yen Press,Overlord,13,Audio,9781975397999,2024-07-16
overlord,https://yenpress.com/titles/9781975398002-overlord-vol-14,Yen Press,Overlord,14,Audio,9781975398002,2024-10-15
overlord,https://yenpress.com/titles/9781975398019-overlord-vol-15,Yen Press,Overlord,15,Audio,9781975398019,2025-01-14
overlord,https://yenpress.com/titles/9781975398026-overlord-vol-16,Yen Press,Overlord,16,Audio,9781975398026,2025-04-15
peddlerinanotherworldicangobacktomyworldwheneveriwant,https://global.bookwalker.jp/defff35cf2-e30c-4ae2-b375-3d6b22ba0b30/,J-Novel Club,Peddler in Another World: I Can Go Back to My World Whenever I Want!,1,Audiobook,9798855592542,2025-12-16
peddlerinanotherworldicangobacktomyworldwheneveriwant,https://global.bookwalker.jp/de547ce02f-61cd-46cb-9dc4-9777248a15dc/,J-Novel Club,Peddler in Another World: I Can Go Back to My World Whenever I Want!,2,Audiobook,9798855592566,2025-12-16
perfectblue,https://sevenseasentertainment.com/audio_books/perfect-blue-complete-metamorphosis-audiobook/,Seven Seas Entertainment,Perfect Blue: Complete Metamorphosis,1,Audiobook,,2024-08-15
qualiathepurple,https://sevenseasentertainment.com/audio_books/qualia-the-purple-audiobook/,Seven Seas Entertainment,Qualia the Purple,1,Audiobook,,2024-11-28
rascaldoesnotdream,https://yenpress.com/titles/9781975344092-rascal-does-not-dream-of-bunny-girl-senpai,Yen Press,Rascal Does Not Dream of Bunny Girl Senpai,1,Audio,9781975344092,2022-06-14
rascaldoesnotdream,https://yenpress.com/titles/9781975344108-rascal-does-not-dream-of-petite-devil-kohai,Yen Press,Rascal Does Not Dream of Petite Devil Kohai,2,Audio,9781975344108,2022-09-13
rascaldoesnotdream,https://yenpress.com/titles/9781975344115-rascal-does-not-dream-of-logical-witch,Yen Press,Rascal Does Not Dream of Logical Witch,3,Audio,9781975344115,2022-12-13
rascaldoesnotdream,https://yenpress.com/titles/9781975344122-rascal-does-not-dream-of-siscon-idol,Yen Press,Rascal Does Not Dream of Siscon Idol,4,Audio,9781975344122,2023-03-14
rascaldoesnotdream,https://yenpress.com/titles/9781975370831-rascal-does-not-dream-of-a-sister-home-alone,Yen Press,Rascal Does Not Dream of a Sister Home Alone,5,Audio,9781975370831,2023-06-20
rascaldoesnotdream,https://yenpress.com/titles/9781975370848-rascal-does-not-dream-of-a-dreaming-girl,Yen Press,Rascal Does Not Dream of a Dreaming Girl,6,Audio,9781975370848,2023-09-12
rascaldoesnotdream,https://yenpress.com/titles/9781975370855-rascal-does-not-dream-of-his-first-love,Yen Press,Rascal Does Not Dream of His First Love,7,Audio,9781975370855,2023-12-12
rascaldoesnotdream,https://yenpress.com/titles/9781975370862-rascal-does-not-dream-of-a-sister-venturing-out,Yen Press,Rascal Does Not Dream of a Sister Venturing Out,8,Audio,9781975370862,2024-03-12
rascaldoesnotdream,https://yenpress.com/titles/9781975398118-rascal-does-not-dream-of-a-knapsack-kid,Yen Press,Rascal Does Not Dream of a Knapsack Kid,9,Audio,9781975398118,2024-06-11
rascaldoesnotdream,https://yenpress.com/titles/9781975398125-rascal-does-not-dream-of-a-lost-singer,Yen Press,Rascal Does Not Dream of a Lost Singer,10,Audio,9781975398125,2024-09-10
rascaldoesnotdream,https://yenpress.com/titles/9781975398132-rascal-does-not-dream-of-a-nightingale,Yen Press,Rascal Does Not Dream of a Nightingale,11,Audio,9781975398132,2024-12-10
rascaldoesnotdream,https://yenpress.com/titles/9781975398149-rascal-does-not-dream-of-his-student,Yen Press,Rascal Does Not Dream of His Student,12,Audio,9781975398149,2025-03-11
rascaldoesnotdream,https://yenpress.com/titles/9798855419320-rascal-does-not-dream-of-santa-claus,Yen Press,Rascal Does Not Dream of Santa Claus,13,Audio,9798855419320,2025-06-10
rascaldoesnotdream,https://yenpress.com/titles/9798855419313-rascal-does-not-dream-of-his-girlfriend,Yen Press,Rascal Does Not Dream of His Girlfriend,14,Audio,9798855419313,2025-09-09
rascaldoesnotdream,https://yenpress.com/titles/9798855426076-rascal-does-not-dream-of-a-dear-friend,Yen Press,Rascal Does Not Dream of a Dear Friend,15,Audio,9798855426076,2026-02-24
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-1/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,1,Audiobook,,2023-06-20
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-2/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,2,Audiobook,,2023-08-24
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-3/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,3,Audiobook,,2023-10-12
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-4/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,4,Audiobook,,2023-11-09
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-5/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,5,Audiobook,,2023-12-28
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-6/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,6,Audiobook,,2024-01-18
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-7/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,7,Audiobook,,2024-02-29
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-8/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,8,Audiobook,,2024-03-21
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-9/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,9,Audiobook,,2024-07-04
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-10/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,10,Audiobook,,2024-11-21
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-11/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,11,Audiobook,,2025-02-20
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-12/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,12,Audiobook,,2025-08-21
rebornasaspacemercenaryiwokeuppilotingthestrongeststarship,https://sevenseasentertainment.com/audio_books/reborn-as-a-space-mercenary-audiobook-vol-13/,Seven Seas Entertainment,Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!,13,Audiobook,,2025-11-20
reborntomasterthebladefromherokingtoextraordinarysquire,https://global.bookwalker.jp/dee52a4bfc-fa73-4ce0-9fb6-2dbd3ba54e97/,J-Novel Club,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,1,Audiobook,9798765080504,2025-12-16
reborntomasterthebladefromherokingtoextraordinarysquire,https://global.bookwalker.jp/de0689f12e-1078-4244-97ca-50b1a4b04190/,J-Novel Club,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,2,Audiobook,9798765080528,2025-12-16
reborntomasterthebladefromherokingtoextraordinarysquire,https://global.bookwalker.jp/de04cc5ca6-00a2-40c8-ab2c-a2ad5de35fb8/,J-Novel Club,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,3,Audiobook,9798765080542,2025-12-16
reborntomasterthebladefromherokingtoextraordinarysquire,https://global.bookwalker.jp/de6fd78a67-a1a4-4c88-b10c-fc6e637b9b19/,J-Novel Club,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,4,Audiobook,9798765080566,2025-12-16
recordoflodosswar,https://sevenseasentertainment.com/audio_books/record-of-lodoss-war-the-grey-witch-audiobook/,Seven Seas Entertainment,Record of Lodoss War: The Grey Witch – Gold Edition,1,Audiobook,,2025-07-10
reignofthesevenspellblades,https://yenpress.com/titles/9781975394165-reign-of-the-seven-spellblades-vol-1,Yen Press,Reign of the Seven Spellblades,1,Audio,9781975394165,2024-05-14
reignofthesevenspellblades,https://yenpress.com/titles/9781975394172-reign-of-the-seven-spellblades-vol-2,Yen Press,Reign of the Seven Spellblades,2,Audio,9781975394172,2024-08-13
reignofthesevenspellblades,https://yenpress.com/titles/9781975394189-reign-of-the-seven-spellblades-vol-3,Yen Press,Reign of the Seven Spellblades,3,Audio,9781975394189,2024-11-12
reignofthesevenspellblades,https://yenpress.com/titles/9781975394196-reign-of-the-seven-spellblades-vol-4,Yen Press,Reign of the Seven Spellblades,4,Audio,9781975394196,2025-02-11
reignofthesevenspellblades,https://yenpress.com/titles/9781975394202-reign-of-the-seven-spellblades-vol-5,Yen Press,Reign of the Seven Spellblades,5,Audio,9781975394202,2025-04-15
reignofthesevenspellblades,https://yenpress.com/titles/9781975394219-reign-of-the-seven-spellblades-vol-6,Yen Press,Reign of the Seven Spellblades,6,Audio,9781975394219,2025-07-15
reignofthesevenspellblades,https://yenpress.com/titles/9781975394226-reign-of-the-seven-spellblades-vol-7,Yen Press,Reign of the Seven Spellblades,7,Audio,9781975394226,2025-10-14
reignofthesevenspellblades,https://yenpress.com/titles/9781975394233-reign-of-the-seven-spellblades-vol-8,Yen Press,Reign of the Seven Spellblades,8,Audio,9781975394233,2026-01-13
reignofthesevenspellblades,https://yenpress.com/titles/9781975394240-reign-of-the-seven-spellblades-vol-9,Yen Press,Reign of the Seven Spellblades,9,Audio,9781975394240,2026-04-14
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-1/,Seven Seas Entertainment,Reincarnated as a Sword,1,Audiobook,,2024-08-22
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-2/,Seven Seas Entertainment,Reincarnated as a Sword,2,Audiobook,,2024-09-19
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-3/,Seven Seas Entertainment,Reincarnated as a Sword,3,Audiobook,,2024-10-17
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-4/,Seven Seas Entertainment,Reincarnated as a Sword,4,Audiobook,,2024-11-28
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-5/,Seven Seas Entertainment,Reincarnated as a Sword,5,Audiobook,,2024-12-26
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-6/,Seven Seas Entertainment,Reincarnated as a Sword,6,Audiobook,,2025-01-30
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-7/,Seven Seas Entertainment,Reincarnated as a Sword,7,Audiobook,,2025-02-27
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-8/,Seven Seas Entertainment,Reincarnated as a Sword,8,Audiobook,,2025-03-27
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-9/,Seven Seas Entertainment,Reincarnated as a Sword,9,Audiobook,,2025-04-24
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-10/,Seven Seas Entertainment,Reincarnated as a Sword,10,Audiobook,,2025-05-29
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-11/,Seven Seas Entertainment,Reincarnated as a Sword,11,Audiobook,,2025-06-26
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-12/,Seven Seas Entertainment,Reincarnated as a Sword,12,Audiobook,,2025-07-31
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-13/,Seven Seas Entertainment,Reincarnated as a Sword,13,Audiobook,,2025-08-28
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-14/,Seven Seas Entertainment,Reincarnated as a Sword,14,Audiobook,,2025-09-25
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-15/,Seven Seas Entertainment,Reincarnated as a Sword,15,Audiobook,,2025-10-30
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-16/,Seven Seas Entertainment,Reincarnated as a Sword,16,Audiobook,,2025-11-27
reincarnatedasasword,https://sevenseasentertainment.com/audio_books/reincarnated-as-a-sword-audiobook-vol-17/,Seven Seas Entertainment,Reincarnated as a Sword,17,Audiobook,,2025-12-25
reincarnatedasthelastofmykind,https://crossinfworld.com/Reincarnated-as-the-Last-of-My-Kind.html,Cross Infinite World,Reincarnated as the Last of My Kind,1,Audiobook,,2021-09-14
reincarnatedasthelastofmykind,https://crossinfworld.com/Reincarnated-as-the-Last-of-My-Kind-Volume-2.html,Cross Infinite World,Reincarnated as the Last of My Kind,2,Audiobook,,2021-11-16
reincarnatedasthelastofmykind,https://crossinfworld.com/Reincarnated-as-the-Last-of-My-Kind-Volume-3.html,Cross Infinite World,Reincarnated as the Last of My Kind,3,Audiobook,,2022-02-01
reincarnatedasthelastofmykind,https://crossinfworld.com/Reincarnated-as-the-Last-of-My-Kind-Volume-4.html,Cross Infinite World,Reincarnated as the Last of My Kind,4,Audiobook,,2023-01-03
reincarnatedasthelastofmykind,https://crossinfworld.com/Reincarnated-as-the-Last-of-My-Kind-Volume-5.html,Cross Infinite World,Reincarnated as the Last of My Kind,5,Audiobook,,2023-11-07
reincarnatedasthelastofmykind,https://crossinfworld.com/Reincarnated-as-the-Last-of-My-Kind-Volume-6.html,Cross Infinite World,Reincarnated as the Last of My Kind,6,Audiobook,B0DN33M6SJ,2024-12-24
resettheimprisonedprincessdreamsofanotherchance,https://crossinfworld.com/Reset-The-Imprisoned-Princess-Dreams-of-Another-Chance.html,Cross Infinite World,Reset! The Imprisoned Princess Dreams of Another Chance!,1,Audiobook,,2021-10-12
